invoice_no,customer_id,stock_code,description,quantity,unit_price,transaction_date,country,total_spend
INV_001983,CUST_00540,PROD_0040,Product 40 Luxury,1,137.92,2024-03-21 07:07:02,Germany,137.92
INV_000059,CUST_01240,PROD_0041,Product 41 Eco,1,154.87,2024-08-25 13:14:59,Japan,154.87
INV_002636,CUST_00246,PROD_0049,Product 49 Eco,3,100.27,2024-07-21 19:54:19,United States,300.81
INV_003525,CUST_01737,PROD_0006,Product 6 Luxury,1,43.76,2024-09-19 22:24:19,United Kingdom,43.76
INV_007829,CUST_00908,PROD_0019,Product 19 Luxury,1,59.19,2024-01-01 05:04:39,United Kingdom,59.19
INV_002018,CUST_01631,PROD_0006,Product 6 Luxury,2,43.76,2024-12-09 11:10:58,United States,87.52
INV_007052,CUST_00483,PROD_0025,Product 25 Eco,3,138.49,2024-06-27 20:49:46,United Kingdom,415.47
INV_001962,CUST_01476,PROD_0038,Product 38 Modern,1,199.23,2024-12-01 15:41:40,United States,199.23
INV_001524,CUST_00999,PROD_0023,Product 23 Eco,1,36.85,2024-01-16 11:40:58,Germany,36.85
INV_007187,CUST_02243,PROD_0008,Product 8 Eco,1,162.83,2024-01-23 19:57:38,United States,162.83
INV_002378,CUST_01616,PROD_0016,Product 16 Eco,1,117.57,2024-07-05 03:06:50,France,117.57
INV_005562,CUST_01572,PROD_0040,Product 40 Luxury,1,137.92,2024-10-19 09:42:14,United Kingdom,137.92
INV_001098,CUST_01491,PROD_0033,Product 33 Modern,4,82.87,2024-05-28 17:37:38,Australia,331.48
INV_003863,CUST_02126,PROD_0032,Product 32 Eco,1,150.66,2024-11-14 11:16:28,Germany,150.66
INV_000231,CUST_00925,PROD_0011,Product 11 Essential,2,23.08,2024-10-28 05:59:16,United Kingdom,46.16
INV_003456,CUST_00408,PROD_0050,Product 50 Luxury,2,176.34,2024-05-06 07:21:13,United States,352.68
INV_003358,CUST_01519,PROD_0001,Product 1 Luxury,1,149.59,2024-09-21 19:23:44,Canada,149.59
INV_002043,CUST_02043,PROD_0019,Product 19 Luxury,1,59.19,2024-07-30 01:47:52,France,59.19
INV_000674,CUST_02088,PROD_0025,Product 25 Eco,3,138.49,2024-07-25 17:46:00,United Kingdom,415.47
INV_002101,CUST_00130,PROD_0005,Product 5 Vintage,3,103.53,2024-04-15 10:32:21,United States,310.59
INV_005595,CUST_01762,PROD_0027,Product 27 Essential,1,57.2,2024-01-08 23:25:27,Germany,57.2
INV_007318,CUST_02103,PROD_0007,Product 7 Eco,2,47.98,2024-09-04 02:06:50,Canada,95.96
INV_005707,CUST_01812,PROD_0030,Product 30 Modern,5,32.85,2024-08-23 13:29:32,United States,164.25
INV_002649,CUST_01138,PROD_0041,Product 41 Eco,4,154.87,2024-09-12 19:15:21,United Kingdom,619.48
INV_002743,CUST_02045,PROD_0035,Product 35 Luxury,4,172.91,2024-12-04 12:38:32,Japan,691.64
INV_005201,CUST_01632,PROD_0020,Product 20 Essential,1,77.18,2024-04-20 14:35:29,United Kingdom,77.18
INV_002176,CUST_01781,PROD_0003,Product 3 Luxury,6,21.94,2024-10-05 18:17:56,Japan,131.64
INV_007892,CUST_00345,PROD_0008,Product 8 Eco,1,162.83,2024-06-23 05:30:13,United States,162.83
INV_005483,CUST_01169,PROD_0036,Product 36 Vintage,2,159.45,2024-11-04 17:57:59,Japan,318.9
INV_001109,CUST_01341,PROD_0032,Product 32 Eco,7,150.66,2024-02-03 13:10:17,United Kingdom,1054.62
INV_000068,CUST_00209,PROD_0017,Product 17 Luxury,1,133.94,2024-02-05 20:17:02,United Kingdom,133.94
INV_003439,CUST_00231,PROD_0014,Product 14 Modern,1,29.33,2024-02-07 07:13:47,United States,29.33
INV_007649,CUST_02104,PROD_0033,Product 33 Modern,4,82.87,2024-01-17 07:07:45,United States,331.48
INV_002157,CUST_02421,PROD_0041,Product 41 Eco,1,154.87,2024-06-16 10:35:42,France,154.87
INV_002217,CUST_02448,PROD_0030,Product 30 Modern,1,32.85,2024-10-18 01:08:59,United States,32.85
INV_006185,CUST_00269,PROD_0038,Product 38 Modern,1,199.23,2024-02-24 22:53:04,Germany,199.23
INV_002597,CUST_02419,PROD_0014,Product 14 Modern,4,29.33,2024-01-18 12:32:04,United States,117.32
INV_004714,CUST_01024,PROD_0027,Product 27 Essential,2,57.2,2024-03-05 15:30:32,United Kingdom,114.4
INV_000368,CUST_00633,PROD_0027,Product 27 Essential,1,57.2,2024-12-09 20:39:16,United States,57.2
INV_002131,CUST_00533,PROD_0045,Product 45 Eco,3,174.74,2024-01-12 06:13:53,United Kingdom,524.22
INV_007516,CUST_01927,PROD_0043,Product 43 Vintage,3,5.62,2024-03-18 08:29:26,United States,16.86
INV_005134,CUST_02327,PROD_0045,Product 45 Eco,4,174.74,2024-08-06 18:56:22,United States,698.96
INV_004667,CUST_00743,PROD_0012,Product 12 Luxury,1,170.25,2024-09-20 09:21:32,United States,170.25
INV_004396,CUST_00897,PROD_0049,Product 49 Eco,3,100.27,2024-05-11 23:33:10,United Kingdom,300.81
INV_007689,CUST_02477,PROD_0040,Product 40 Luxury,2,137.92,2024-02-21 23:18:15,United States,275.84
INV_006270,CUST_00896,PROD_0018,Product 18 Essential,4,171.78,2024-04-08 15:42:08,Canada,687.12
INV_006181,CUST_02243,PROD_0023,Product 23 Eco,1,36.85,2024-07-02 22:39:40,United Kingdom,36.85
INV_005792,CUST_02118,PROD_0016,Product 16 Eco,3,117.57,2024-08-15 10:23:05,United States,352.71
INV_006283,CUST_00958,PROD_0022,Product 22 Luxury,2,128.81,2024-09-07 13:05:57,United States,257.62
INV_007314,CUST_01684,PROD_0030,Product 30 Modern,1,32.85,2024-09-15 10:34:46,United States,32.85
