stock_code_A,stock_code_B,item_A_name,item_B_name,support,confidence,lift
PROD_0015,PROD_0006,Product 15 Modern,Product 6 Luxury,0.00588,0.0926,1.41
PROD_0006,PROD_0015,Product 6 Luxury,Product 15 Modern,0.00588,0.0895,1.41
PROD_0015,PROD_0008,Product 15 Modern,Product 8 Eco,0.00549,0.0865,1.39
PROD_0008,PROD_0015,Product 8 Eco,Product 15 Modern,0.00549,0.0881,1.39
PROD_0050,PROD_0029,Product 50 Luxury,Product 29 Essential,0.00536,0.0886,1.39
PROD_0029,PROD_0050,Product 29 Essential,Product 50 Luxury,0.00536,0.0842,1.39
PROD_0016,PROD_0039,Product 16 Eco,Product 39 Eco,0.00523,0.0866,1.39
PROD_0039,PROD_0016,Product 39 Eco,Product 16 Eco,0.00523,0.0837,1.39
PROD_0033,PROD_0005,Product 33 Modern,Product 5 Vintage,0.00536,0.0825,1.39
PROD_0005,PROD_0033,Product 5 Vintage,Product 33 Modern,0.00536,0.0902,1.39
PROD_0036,PROD_0016,Product 36 Vintage,Product 16 Eco,0.00523,0.0836,1.38
PROD_0016,PROD_0036,Product 16 Eco,Product 36 Vintage,0.00523,0.0866,1.38
PROD_0016,PROD_0019,Product 16 Eco,Product 19 Luxury,0.00536,0.0888,1.38
PROD_0019,PROD_0016,Product 19 Luxury,Product 16 Eco,0.00536,0.0834,1.38
PROD_0008,PROD_0044,Product 8 Eco,Product 44 Essential,0.00562,0.0902,1.37
PROD_0044,PROD_0008,Product 44 Essential,Product 8 Eco,0.00562,0.0853,1.37
PROD_0006,PROD_0026,Product 6 Luxury,Product 26 Luxury,0.00588,0.0895,1.37
PROD_0026,PROD_0006,Product 26 Luxury,Product 6 Luxury,0.00588,0.0898,1.37
PROD_0043,PROD_0002,Product 43 Vintage,Product 2 Vintage,0.00562,0.0917,1.37
PROD_0002,PROD_0043,Product 2 Vintage,Product 43 Vintage,0.00562,0.0842,1.37
PROD_0034,PROD_0038,Product 34 Vintage,Product 38 Modern,0.00536,0.088,1.36
PROD_0038,PROD_0034,Product 38 Modern,Product 34 Vintage,0.00536,0.0829,1.36
PROD_0050,PROD_0044,Product 50 Luxury,Product 44 Essential,0.00536,0.0886,1.35
