customer_id,total_monetary_spend,transaction_frequency,total_items_purchased,first_purchase,last_purchase,views,carts,purchases,searches,total_sessions,cart_to_view_ratio,avg_order_value,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_total,customer_segment,cluster_id
CUST_01547,1571.33,3,13,2024-05-25 21:16:12,2024-10-24 11:13:12,16,1,0,3,3,0.0625,523.78,68.5,3,1571.33,3,4,2,342,9,Potential Loyalists,Cluster_3
CUST_02148,3704.58,4,26,2024-02-27 19:49:30,2024-12-07 11:58:25,42,9,2,9,11,0.2143,926.14,24.5,4,3704.58,5,4,5,545,14,Champions,Cluster_1
CUST_00783,4754.98,7,42,2024-02-03 05:58:14,2024-10-17 06:21:05,17,8,1,3,5,0.4706,679.28,75.7,7,4754.98,3,5,5,355,13,Loyal Customers,Cluster_4
CUST_02471,4614.75,4,36,2024-06-06 01:41:15,2024-11-10 08:23:20,14,9,1,3,4,0.6429,1153.69,51.7,4,4614.75,4,4,5,445,13,Champions,Cluster_4
CUST_02397,1042.93,2,7,2024-06-23 08:09:32,2024-07-06 13:15:07,25,9,3,3,8,0.36,521.47,178.4,2,1042.93,1,2,2,122,5,Lost,Cluster_3
CUST_01988,4751.11,4,30,2024-06-13 20:22:49,2024-10-30 12:56:24,23,5,1,2,5,0.2174,1187.78,62.5,4,4751.11,3,4,5,345,12,Loyal Customers,Cluster_4
CUST_01634,5009.79,5,40,2024-02-04 15:17:43,2024-08-26 11:59:57,15,1,1,2,4,0.0667,1001.96,127.5,5,5009.79,2,5,5,255,12,Loyal Customers,Cluster_4
CUST_01654,1838.44,2,19,2024-01-08 21:12:20,2024-01-27 05:47:52,11,6,0,1,4,0.5455,919.22,339.8,2,1838.44,1,2,3,123,6,Potential Loyalists,Cluster_3
CUST_02009,5187.51,8,38,2024-01-15 17:50:51,2024-10-03 16:03:41,15,4,1,2,5,0.2667,648.44,89.3,8,5187.51,3,5,5,355,13,Loyal Customers,Cluster_4
CUST_00698,1146.36,2,12,2024-05-13 16:18:09,2024-09-09 15:34:32,33,12,0,7,10,0.3636,573.18,113.4,2,1146.36,2,2,2,222,6,Lost,Cluster_3
CUST_00386,2157.72,2,16,2024-05-28 05:53:09,2024-06-25 13:58:57,13,4,0,2,3,0.3077,1078.86,189.4,2,2157.72,1,2,3,123,6,Potential Loyalists,Cluster_3
CUST_02079,3712.69,4,28,2024-01-29 19:30:25,2024-10-02 02:20:13,3,2,0,3,2,0.6667,928.17,90.9,4,3712.69,3,4,5,345,12,Loyal Customers,Cluster_4
CUST_02157,2561.7,6,25,2024-01-15 15:49:55,2024-11-29 17:43:43,24,15,1,1,6,0.625,426.95,32.3,6,2561.7,4,5,3,453,12,Loyal Customers,Cluster_1
CUST_01967,283.68,1,2,2024-09-04 16:11:47,2024-09-04 16:11:47,14,1,0,1,3,0.0714,283.68,118.3,1,283.68,2,1,1,211,4,Lost,Cluster_2
CUST_00862,291.79,1,2,2024-10-08 12:39:08,2024-10-08 12:39:08,15,1,2,3,4,0.0667,291.79,84.5,1,291.79,3,1,1,311,5,Potential Loyalists,Cluster_2
CUST_01297,2027.64,5,18,2024-01-06 12:13:49,2024-12-14 15:30:37,12,4,3,2,4,0.3333,405.53,17.4,5,2027.64,5,5,3,553,13,Loyal Customers,Cluster_1
CUST_01022,772.37,2,9,2024-02-14 00:35:45,2024-09-16 07:30:19,23,3,2,4,7,0.1304,386.19,106.7,2,772.37,2,2,1,221,5,Lost,Cluster_3
CUST_01638,1154.39,2,11,2024-04-14 00:04:18,2024-07-13 21:39:39,22,11,2,1,6,0.5,577.2,171.1,2,1154.39,2,2,2,222,6,Lost,Cluster_3
CUST_01138,4762.99,4,34,2024-01-01 00:51:57,2024-12-26 02:34:38,9,5,0,0,3,0.5556,1190.75,5.9,4,4762.99,5,4,5,545,14,Champions,Cluster_1
CUST_01219,1945.43,4,16,2024-02-09 00:07:43,2024-12-22 18:44:32,14,1,2,1,4,0.0714,486.36,9.2,4,1945.43,5,4,3,543,12,Loyal Customers,Cluster_1
CUST_02049,902.22,2,7,2024-02-29 20:06:32,2024-05-01 06:16:53,25,7,2,1,10,0.28,451.11,244.7,2,902.22,1,2,1,121,4,Lost,Cluster_3
CUST_00374,1339.86,1,9,2024-02-14 08:05:39,2024-02-14 08:05:39,16,7,0,6,6,0.4375,1339.86,321.7,1,1339.86,1,1,2,112,4,Lost,Cluster_2
