product_id,description
PROD_0001,Product 1 Luxury
PROD_0002,Product 2 Vintage
PROD_0003,Product 3 Luxury
PROD_0004,Product 4 Modern
PROD_0005,Product 5 Vintage
PROD_0006,Product 6 Luxury
PROD_0007,Product 7 Eco
PROD_0008,Product 8 Eco
PROD_0009,Product 9 Luxury
PROD_0010,Product 10 Essential
PROD_0011,Product 11 Essential
PROD_0012,Product 12 Luxury
PROD_0013,Product 13 Eco
PROD_0014,Product 14 Modern
PROD_0015,Product 15 Modern
PROD_0016,Product 16 Eco
PROD_0017,Product 17 Luxury
PROD_0018,Product 18 Essential
PROD_0019,Product 19 Luxury
PROD_0020,Product 20 Essential
PROD_0021,Product 21 Vintage
PROD_0022,Product 22 Luxury
PROD_0023,Product 23 Eco
PROD_0024,Product 24 Modern
PROD_0025,Product 25 Eco
PROD_0026,Product 26 Luxury
PROD_0027,Product 27 Essential
PROD_0028,Product 28 Vintage
PROD_0029,Product 29 Essential
PROD_0030,Product 30 Modern
PROD_0031,Product 31 Vintage
PROD_0032,Product 32 Eco
PROD_0033,Product 33 Modern
PROD_0034,Product 34 Vintage
PROD_0035,Product 35 Luxury
PROD_0036,Product 36 Vintage
PROD_0037,Product 37 Modern
PROD_0038,Product 38 Modern
PROD_0039,Product 39 Eco
PROD_0040,Product 40 Luxury
PROD_0041,Product 41 Eco
PROD_0042,Product 42 Essential
PROD_0043,Product 43 Vintage
PROD_0044,Product 44 Essential
PROD_0045,Product 45 Eco
PROD_0046,Product 46 Essential
PROD_0047,Product 47 Vintage
PROD_0048,Product 48 Eco
PROD_0049,Product 49 Eco
PROD_0050,Product 50 Luxury
