invoice_no,customer_id,stock_code,description,quantity,unit_price,transaction_date,country
INV_001983,CUST_00540,PROD_0040,Product 40 Luxury,1,137.92,2024-03-21 07:07:02,Germany
INV_000059,CUST_01240,PROD_0041,Product 41 Eco,1,154.87,2024-08-25 13:14:59,Japan
INV_002636,CUST_00246,PROD_0049,Product 49 Eco,3,100.27,2024-07-21 19:54:19,United States
INV_003525,CUST_01737,PROD_0006,Product 6 Luxury,1,43.76,2024-09-19 22:24:19,United Kingdom
INV_007829,CUST_00908,PROD_0019,Product 19 Luxury,1,59.19,2024-01-01 05:04:39,United Kingdom
INV_002018,CUST_01631,PROD_0006,Product 6 Luxury,2,43.76,2024-12-09 11:10:58,United States
INV_007052,CUST_00483,PROD_0025,Product 25 Eco,3,138.49,2024-06-27 20:49:46,United Kingdom
INV_001962,CUST_01476,PROD_0038,Product 38 Modern,1,199.23,2024-12-01 15:41:40,United States
INV_001524,CUST_00999,PROD_0023,Product 23 Eco,1,36.85,2024-01-16 11:40:58,Germany
INV_007187,CUST_02243,PROD_0008,Product 8 Eco,1,162.83,2024-01-23 19:57:38,United States
INV_002378,CUST_01616,PROD_0016,Product 16 Eco,1,117.57,2024-07-05 03:06:50,France
INV_005562,CUST_01572,PROD_0040,Product 40 Luxury,1,137.92,2024-10-19 09:42:14,United Kingdom
INV_001098,CUST_01491,PROD_0033,Product 33 Modern,4,82.87,2024-05-28 17:37:38,Australia
INV_003863,CUST_02126,PROD_0032,Product 32 Eco,1,150.66,2024-11-14 11:16:28,Germany
INV_000231,CUST_00925,PROD_0011,Product 11 Essential,2,23.08,2024-10-28 05:59:16,United Kingdom
INV_003456,CUST_00408,PROD_0050,Product 50 Luxury,2,176.34,2024-05-06 07:21:13,United States
INV_003358,CUST_01519,PROD_0001,Product 1 Luxury,1,149.59,2024-09-21 19:23:44,Canada
INV_002043,CUST_02043,PROD_0019,Product 19 Luxury,1,59.19,2024-07-30 01:47:52,France
INV_000674,CUST_02088,PROD_0025,Product 25 Eco,3,138.49,2024-07-25 17:46:00,United Kingdom
INV_002101,CUST_00130,PROD_0005,Product 5 Vintage,3,103.53,2024-04-15 10:32:21,United States
INV_005595,CUST_01762,PROD_0027,Product 27 Essential,1,57.2,2024-01-08 23:25:27,Germany
INV_007318,CUST_02103,PROD_0007,Product 7 Eco,2,47.98,2024-09-04 02:06:50,Canada
INV_005707,CUST_01812,PROD_0030,Product 30 Modern,5,32.85,2024-08-23 13:29:32,United States
INV_002649,CUST_01138,PROD_0041,Product 41 Eco,4,154.87,2024-09-12 19:15:21,United Kingdom
INV_002743,CUST_02045,PROD_0035,Product 35 Luxury,4,172.91,2024-12-04 12:38:32,Japan
INV_005201,CUST_01632,PROD_0020,Product 20 Essential,1,77.18,2024-04-20 14:35:29,United Kingdom
INV_002176,CUST_01781,PROD_0003,Product 3 Luxury,6,21.94,2024-10-05 18:17:56,Japan
INV_007892,CUST_00345,PROD_0008,Product 8 Eco,1,162.83,2024-06-23 05:30:13,United States
INV_005483,CUST_01169,PROD_0036,Product 36 Vintage,2,159.45,2024-11-04 17:57:59,Japan
INV_001109,CUST_01341,PROD_0032,Product 32 Eco,7,150.66,2024-02-03 13:10:17,United Kingdom
INV_000068,CUST_00209,PROD_0017,Product 17 Luxury,1,133.94,2024-02-05 20:17:02,United Kingdom
INV_003439,CUST_00231,PROD_0014,Product 14 Modern,1,29.33,2024-02-07 07:13:47,United States
INV_007649,CUST_02104,PROD_0033,Product 33 Modern,4,82.87,2024-01-17 07:07:45,United States
INV_002157,CUST_02421,PROD_0041,Product 41 Eco,1,154.87,2024-06-16 10:35:42,France
INV_002217,CUST_02448,PROD_0030,Product 30 Modern,1,32.85,2024-10-18 01:08:59,United States
INV_006185,CUST_00269,PROD_0038,Product 38 Modern,1,199.23,2024-02-24 22:53:04,Germany
INV_002597,CUST_02419,PROD_0014,Product 14 Modern,4,29.33,2024-01-18 12:32:04,United States
INV_004714,CUST_01024,PROD_0027,Product 27 Essential,2,57.2,2024-03-05 15:30:32,United Kingdom
INV_000368,CUST_00633,PROD_0027,Product 27 Essential,1,57.2,2024-12-09 20:39:16,United States
INV_002131,CUST_00533,PROD_0045,Product 45 Eco,3,174.74,2024-01-12 06:13:53,United Kingdom
INV_007516,CUST_01927,PROD_0043,Product 43 Vintage,3,5.62,2024-03-18 08:29:26,United States
INV_005134,CUST_02327,PROD_0045,Product 45 Eco,4,174.74,2024-08-06 18:56:22,United States
INV_004667,CUST_00743,PROD_0012,Product 12 Luxury,1,170.25,2024-09-20 09:21:32,United States
INV_004396,CUST_00897,PROD_0049,Product 49 Eco,3,100.27,2024-05-11 23:33:10,United Kingdom
INV_007689,CUST_02477,PROD_0040,Product 40 Luxury,2,137.92,2024-02-21 23:18:15,United States
INV_006270,CUST_00896,PROD_0018,Product 18 Essential,4,171.78,2024-04-08 15:42:08,Canada
INV_006181,CUST_02243,PROD_0023,Product 23 Eco,1,36.85,2024-07-02 22:39:40,United Kingdom
INV_005792,CUST_02118,PROD_0016,Product 16 Eco,3,117.57,2024-08-15 10:23:05,United States
INV_006283,CUST_00958,PROD_0022,Product 22 Luxury,2,128.81,2024-09-07 13:05:57,United States
INV_007314,CUST_01684,PROD_0030,Product 30 Modern,1,32.85,2024-09-15 10:34:46,United States
INV_004022,CUST_00700,PROD_0008,Product 8 Eco,1,162.83,2024-09-20 18:37:48,Germany
INV_007277,CUST_01375,PROD_0013,Product 13 Eco,1,162.38,2024-12-10 05:14:57,United States
INV_007929,CUST_02412,PROD_0028,Product 28 Vintage,3,175.88,2024-12-28 00:11:50,United States
INV_007864,CUST_01743,PROD_0036,Product 36 Vintage,7,159.45,2024-10-25 07:22:56,United States
INV_006463,CUST_00512,PROD_0007,Product 7 Eco,3,47.98,2024-03-06 05:07:28,United States
INV_006875,CUST_00202,PROD_0018,Product 18 Essential,3,171.78,2024-01-10 14:54:10,United Kingdom
INV_006273,CUST_02344,PROD_0003,Product 3 Luxury,1,21.94,2024-02-12 05:50:39,United Kingdom
INV_007759,CUST_02277,PROD_0014,Product 14 Modern,2,29.33,2024-12-11 11:04:14,United States
INV_006226,CUST_00344,PROD_0034,Product 34 Vintage,4,104.35,2024-12-22 13:35:43,Germany
INV_004156,CUST_00295,PROD_0032,Product 32 Eco,1,150.66,2024-05-12 07:39:34,United States
INV_003850,CUST_02232,PROD_0029,Product 29 Essential,2,132.8,2024-02-08 17:17:26,United Kingdom
INV_002943,CUST_02416,PROD_0033,Product 33 Modern,1,82.87,2024-06-12 19:03:35,United States
INV_001918,CUST_00230,PROD_0014,Product 14 Modern,1,29.33,2024-12-24 00:27:54,France
INV_006234,CUST_01700,PROD_0031,Product 31 Vintage,1,150.26,2024-02-13 12:03:07,United Kingdom
INV_006795,CUST_01955,PROD_0017,Product 17 Luxury,1,133.94,2024-09-15 02:21:59,United Kingdom
INV_005878,CUST_00785,PROD_0001,Product 1 Luxury,2,149.59,2024-05-14 00:25:52,United States
INV_005102,CUST_00606,PROD_0008,Product 8 Eco,5,162.83,2024-01-25 18:26:35,Germany
INV_002860,CUST_02063,PROD_0013,Product 13 Eco,2,162.38,2024-01-13 09:58:55,France
INV_005218,CUST_01196,PROD_0027,Product 27 Essential,6,57.2,2024-07-15 08:28:59,United States
INV_001527,CUST_01159,PROD_0035,Product 35 Luxury,1,172.91,2024-01-10 14:16:26,Canada
INV_001092,CUST_02047,PROD_0023,Product 23 Eco,1,36.85,2024-11-29 17:48:49,United Kingdom
INV_001367,CUST_00927,PROD_0003,Product 3 Luxury,4,21.94,2024-09-26 08:07:08,Canada
INV_000556,CUST_02237,PROD_0042,Product 42 Essential,3,62.22,2024-05-11 11:29:20,France
INV_007065,CUST_02268,PROD_0015,Product 15 Modern,4,112.64,2024-05-14 14:39:10,Germany
INV_005008,CUST_02452,PROD_0003,Product 3 Luxury,2,21.94,2024-07-01 23:03:26,United States
INV_002918,CUST_02347,PROD_0029,Product 29 Essential,1,132.8,2024-09-18 03:32:14,United States
INV_000060,CUST_02167,PROD_0018,Product 18 Essential,3,171.78,2024-01-04 00:54:59,Germany
INV_000544,CUST_00589,PROD_0002,Product 2 Vintage,1,32.2,2024-04-23 02:51:06,United States
INV_005654,CUST_01737,PROD_0032,Product 32 Eco,2,150.66,2024-09-17 01:54:47,Germany
INV_006872,CUST_00516,PROD_0046,Product 46 Essential,1,123.74,2024-02-08 20:08:42,United Kingdom
INV_004629,CUST_01845,PROD_0014,Product 14 Modern,1,29.33,2024-07-13 23:33:11,United States
INV_003042,CUST_01860,PROD_0050,Product 50 Luxury,1,176.34,2024-01-01 18:13:17,Australia
INV_004513,CUST_01511,PROD_0042,Product 42 Essential,1,62.22,2024-12-21 15:56:27,United States
INV_005091,CUST_00528,PROD_0031,Product 31 Vintage,2,150.26,2024-02-07 12:34:36,Japan
INV_002536,CUST_00406,PROD_0007,Product 7 Eco,5,47.98,2024-11-14 07:05:59,United Kingdom
INV_007567,CUST_01605,PROD_0010,Product 10 Essential,1,35.31,2024-03-14 21:51:37,United States
INV_002270,CUST_00247,PROD_0035,Product 35 Luxury,5,172.91,2024-04-10 06:57:29,Australia
INV_000231,CUST_00925,PROD_0038,Product 38 Modern,2,199.23,2024-10-28 05:59:16,United Kingdom
INV_004572,CUST_00033,PROD_0031,Product 31 Vintage,1,150.26,2024-03-02 15:39:42,United States
INV_003194,CUST_00454,PROD_0017,Product 17 Luxury,3,133.94,2024-02-20 03:39:01,United Kingdom
INV_004705,CUST_00728,PROD_0027,Product 27 Essential,1,57.2,2024-06-04 08:46:36,United States
INV_001454,CUST_00909,PROD_0024,Product 24 Modern,1,197.95,2024-01-01 20:28:37,United States
INV_004064,CUST_02297,PROD_0020,Product 20 Essential,3,77.18,2024-03-01 05:02:58,Australia
INV_001520,CUST_00895,PROD_0019,Product 19 Luxury,1,59.19,2024-10-19 07:15:34,United Kingdom
INV_006819,CUST_02182,PROD_0045,Product 45 Eco,2,174.74,2024-09-27 13:36:04,United Kingdom
INV_001753,CUST_01065,PROD_0012,Product 12 Luxury,1,170.25,2024-05-20 04:24:35,United States
INV_000884,CUST_01557,PROD_0035,Product 35 Luxury,3,172.91,2024-02-03 06:43:37,France
INV_000423,CUST_01142,PROD_0003,Product 3 Luxury,1,21.94,2024-08-10 22:59:59,United States
INV_003135,CUST_01532,PROD_0034,Product 34 Vintage,1,104.35,2024-07-23 01:47:17,Germany
INV_005633,CUST_01179,PROD_0025,Product 25 Eco,1,138.49,2024-07-12 01:37:11,France
INV_003891,CUST_01481,PROD_0001,Product 1 Luxury,1,149.59,2024-12-20 11:09:31,France
INV_003272,CUST_02043,PROD_0029,Product 29 Essential,2,132.8,2024-04-25 04:38:58,United States
INV_001392,CUST_00483,PROD_0004,Product 4 Modern,5,10.8,2024-04-19 19:01:05,United States
INV_001241,CUST_01929,PROD_0050,Product 50 Luxury,1,176.34,2024-07-08 22:42:45,Canada
INV_004871,CUST_00378,PROD_0022,Product 22 Luxury,3,128.81,2024-08-04 19:38:45,France
INV_001937,CUST_02148,PROD_0026,Product 26 Luxury,4,165.24,2024-04-05 15:10:39,United States
INV_003393,CUST_00265,PROD_0047,Product 47 Vintage,1,153.68,2024-09-07 02:23:22,United States
INV_004680,CUST_02044,PROD_0024,Product 24 Modern,1,197.95,2024-03-22 19:16:58,United Kingdom
INV_007852,CUST_00836,PROD_0035,Product 35 Luxury,2,172.91,2024-06-15 02:42:09,United States
INV_000082,CUST_00666,PROD_0022,Product 22 Luxury,1,128.81,2024-11-06 15:29:14,France
INV_004956,CUST_00141,PROD_0021,Product 21 Vintage,1,141.84,2024-10-17 11:16:05,Canada
INV_000785,CUST_02449,PROD_0032,Product 32 Eco,1,150.66,2024-09-17 23:42:51,Germany
INV_002733,CUST_02451,PROD_0037,Product 37 Modern,6,17.38,2024-10-02 13:38:02,Germany
INV_000213,CUST_01984,PROD_0030,Product 30 Modern,1,32.85,2024-04-17 09:09:47,Germany
INV_003781,CUST_01489,PROD_0006,Product 6 Luxury,1,43.76,2024-05-17 05:37:58,United States
INV_006380,CUST_02237,PROD_0003,Product 3 Luxury,2,21.94,2024-08-10 16:48:27,Japan
INV_001407,CUST_00162,PROD_0011,Product 11 Essential,1,23.08,2024-11-26 23:32:00,United States
INV_001673,CUST_00022,PROD_0035,Product 35 Luxury,3,172.91,2024-11-08 09:15:57,United States
