invoice_no,customer_id,product_id,stock_code,product_name,description,category,quantity,unit_price,total_spend,transaction_date,country,device
INV_001983,CUST_00540,PROD_0040,PROD_0040,Product 40 Luxury,Product 40 Luxury,Electronics,1,137.92,137.92,2024-03-21 07:07:02,Germany,Desktop
INV_000059,CUST_01240,PROD_0041,PROD_0041,Product 41 Eco,Product 41 Eco,Electronics,1,154.87,154.87,2024-08-25 13:14:59,Japan,Desktop
INV_002636,CUST_00246,PROD_0049,PROD_0049,Product 49 Eco,Product 49 Eco,Electronics,3,100.27,300.81,2024-07-21 19:54:19,United States,Desktop
INV_003525,CUST_01737,PROD_0006,PROD_0006,Product 6 Luxury,Product 6 Luxury,Electronics,1,43.76,43.76,2024-09-19 22:24:19,United Kingdom,Desktop
INV_007829,CUST_00908,PROD_0019,PROD_0019,Product 19 Luxury,Product 19 Luxury,Electronics,1,59.19,59.19,2024-01-01 05:04:39,United Kingdom,Desktop
INV_002018,CUST_01631,PROD_0006,PROD_0006,Product 6 Luxury,Product 6 Luxury,Electronics,2,43.76,87.52,2024-12-09 11:10:58,United States,Desktop
INV_007052,CUST_00483,PROD_0025,PROD_0025,Product 25 Eco,Product 25 Eco,Electronics,3,138.49,415.47,2024-06-27 20:49:46,United Kingdom,Desktop
INV_001962,CUST_01476,PROD_0038,PROD_0038,Product 38 Modern,Product 38 Modern,Electronics,1,199.23,199.23,2024-12-01 15:41:40,United States,Desktop
INV_001524,CUST_00999,PROD_0023,PROD_0023,Product 23 Eco,Product 23 Eco,Electronics,1,36.85,36.85,2024-01-16 11:40:58,Germany,Desktop
INV_007187,CUST_02243,PROD_0008,PROD_0008,Product 8 Eco,Product 8 Eco,Electronics,1,162.83,162.83,2024-01-23 19:57:38,United States,Desktop
INV_002378,CUST_01616,PROD_0016,PROD_0016,Product 16 Eco,Product 16 Eco,Electronics,1,117.57,117.57,2024-07-05 03:06:50,France,Desktop
INV_005562,CUST_01572,PROD_0040,PROD_0040,Product 40 Luxury,Product 40 Luxury,Electronics,1,137.92,137.92,2024-10-19 09:42:14,United Kingdom,Desktop
INV_001098,CUST_01491,PROD_0033,PROD_0033,Product 33 Modern,Product 33 Modern,Electronics,4,82.87,331.48,2024-05-28 17:37:38,Australia,Desktop
INV_003863,CUST_02126,PROD_0032,PROD_0032,Product 32 Eco,Product 32 Eco,Electronics,1,150.66,150.66,2024-11-14 11:16:28,Germany,Desktop
INV_000231,CUST_00925,PROD_0011,PROD_0011,Product 11 Essential,Product 11 Essential,Electronics,2,23.08,46.16,2024-10-28 05:59:16,United Kingdom,Desktop
INV_003456,CUST_00408,PROD_0050,PROD_0050,Product 50 Luxury,Product 50 Luxury,Electronics,2,176.34,352.68,2024-05-06 07:21:13,United States,Desktop
INV_003358,CUST_01519,PROD_0001,PROD_0001,Product 1 Luxury,Product 1 Luxury,Electronics,1,149.59,149.59,2024-09-21 19:23:44,Canada,Desktop
INV_002043,CUST_02043,PROD_0019,PROD_0019,Product 19 Luxury,Product 19 Luxury,Electronics,1,59.19,59.19,2024-07-30 01:47:52,France,Desktop
INV_000674,CUST_02088,PROD_0025,PROD_0025,Product 25 Eco,Product 25 Eco,Electronics,3,138.49,415.47,2024-07-25 17:46:00,United Kingdom,Desktop
INV_002101,CUST_00130,PROD_0005,PROD_0005,Product 5 Vintage,Product 5 Vintage,Electronics,3,103.53,310.59,2024-04-15 10:32:21,United States,Desktop
INV_005595,CUST_01762,PROD_0027,PROD_0027,Product 27 Essential,Product 27 Essential,Electronics,1,57.2,57.2,2024-01-08 23:25:27,Germany,Desktop
INV_007318,CUST_02103,PROD_0007,PROD_0007,Product 7 Eco,Product 7 Eco,Electronics,2,47.98,95.96,2024-09-04 02:06:50,Canada,Desktop
INV_005707,CUST_01812,PROD_0030,PROD_0030,Product 30 Modern,Product 30 Modern,Electronics,5,32.85,164.25,2024-08-23 13:29:32,United States,Desktop
INV_002649,CUST_01138,PROD_0041,PROD_0041,Product 41 Eco,Product 41 Eco,Electronics,4,154.87,619.48,2024-09-12 19:15:21,United Kingdom,Desktop
INV_002743,CUST_02045,PROD_0035,PROD_0035,Product 35 Luxury,Product 35 Luxury,Electronics,4,172.91,691.64,2024-12-04 12:38:32,Japan,Desktop
INV_005201,CUST_01632,PROD_0020,PROD_0020,Product 20 Essential,Product 20 Essential,Electronics,1,77.18,77.18,2024-04-20 14:35:29,United Kingdom,Desktop
INV_002176,CUST_01781,PROD_0003,PROD_0003,Product 3 Luxury,Product 3 Luxury,Electronics,6,21.94,131.64,2024-10-05 18:17:56,Japan,Desktop
INV_007892,CUST_00345,PROD_0008,PROD_0008,Product 8 Eco,Product 8 Eco,Electronics,1,162.83,162.83,2024-06-23 05:30:13,United States,Desktop
INV_005483,CUST_01169,PROD_0036,PROD_0036,Product 36 Vintage,Product 36 Vintage,Electronics,2,159.45,318.9,2024-11-04 17:57:59,Japan,Desktop
INV_001109,CUST_01341,PROD_0032,PROD_0032,Product 32 Eco,Product 32 Eco,Electronics,7,150.66,1054.62,2024-02-03 13:10:17,United Kingdom,Desktop
INV_000068,CUST_00209,PROD_0017,PROD_0017,Product 17 Luxury,Product 17 Luxury,Electronics,1,133.94,133.94,2024-02-05 20:17:02,United Kingdom,Desktop
INV_003439,CUST_00231,PROD_0014,PROD_0014,Product 14 Modern,Product 14 Modern,Electronics,1,29.33,29.33,2024-02-07 07:13:47,United States,Desktop
INV_007649,CUST_02104,PROD_0033,PROD_0033,Product 33 Modern,Product 33 Modern,Electronics,4,82.87,331.48,2024-01-17 07:07:45,United States,Desktop
INV_002157,CUST_02421,PROD_0041,PROD_0041,Product 41 Eco,Product 41 Eco,Electronics,1,154.87,154.87,2024-06-16 10:35:42,France,Desktop
INV_002217,CUST_02448,PROD_0030,PROD_0030,Product 30 Modern,Product 30 Modern,Electronics,1,32.85,32.85,2024-10-18 01:08:59,United States,Desktop
INV_006185,CUST_00269,PROD_0038,PROD_0038,Product 38 Modern,Product 38 Modern,Electronics,1,199.23,199.23,2024-02-24 22:53:04,Germany,Desktop
INV_002597,CUST_02419,PROD_0014,PROD_0014,Product 14 Modern,Product 14 Modern,Electronics,4,29.33,117.32,2024-01-18 12:32:04,United States,Desktop
INV_004714,CUST_01024,PROD_0027,PROD_0027,Product 27 Essential,Product 27 Essential,Electronics,2,57.2,114.4,2024-03-05 15:30:32,United Kingdom,Desktop
INV_000368,CUST_00633,PROD_0027,PROD_0027,Product 27 Essential,Product 27 Essential,Electronics,1,57.2,57.2,2024-12-09 20:39:16,United States,Desktop
INV_002131,CUST_00533,PROD_0045,PROD_0045,Product 45 Eco,Product 45 Eco,Electronics,3,174.74,524.22,2024-01-12 06:13:53,United Kingdom,Desktop
INV_007516,CUST_01927,PROD_0043,PROD_0043,Product 43 Vintage,Product 43 Vintage,Electronics,3,5.62,16.86,2024-03-18 08:29:26,United States,Desktop
INV_005134,CUST_02327,PROD_0045,PROD_0045,Product 45 Eco,Product 45 Eco,Electronics,4,174.74,698.96,2024-08-06 18:56:22,United States,Desktop
INV_004667,CUST_00743,PROD_0012,PROD_0012,Product 12 Luxury,Product 12 Luxury,Electronics,1,170.25,170.25,2024-09-20 09:21:32,United States,Desktop
