cohort_month,cohort_size,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6
2024-01,580,100.0,24.8,24.7,23.6,23.8,23.3,20.3
2024-02,447,100.0,24.8,24.2,25.3,23.7,22.4,20.4
2024-03,339,100.0,20.1,25.7,24.2,19.8,24.5,18.9
2024-04,259,100.0,19.3,23.9,23.9,20.1,19.7,22.8
2024-05,181,100.0,22.7,29.8,22.7,19.9,20.4,21.5
2024-06,152,100.0,23.0,23.7,26.3,23.0,16.4,25.7
2024-07,118,100.0,28.8,18.6,21.2,15.3,24.6,0.0
2024-08,92,100.0,27.2,26.1,26.1,17.4,0.0,0.0
2024-09,78,100.0,26.9,20.5,17.9,0.0,0.0,0.0
2024-10,66,100.0,27.3,15.2,0.0,0.0,0.0,0.0
2024-11,41,100.0,9.8,0.0,0.0,0.0,0.0,0.0
2024-12,31,100.0,0.0,0.0,0.0,0.0,0.0,0.0
