customer_id,recency_days,transaction_frequency,total_monetary_spend,r_score,f_score,m_score,rfm_score,customer_segment,cluster_id,avg_order_value
CUST_00001,47.0,3,3879.6,4,4,5,445,Champions,Cluster_4,1293.2
CUST_00002,170.8,3,2325.69,2,4,3,243,Loyal Customers,Cluster_3,775.23
CUST_00003,51.0,3,1316.97,4,4,2,442,Potential Loyalists,Cluster_3,438.99
CUST_00005,110.6,3,2678.23,2,4,4,244,Loyal Customers,Cluster_3,892.74
CUST_00006,31.9,4,1869.73,4,4,3,443,Loyal Customers,Cluster_1,467.43
CUST_00007,97.1,3,1357.5,3,4,2,342,Potential Loyalists,Cluster_3,452.5
CUST_00008,93.4,2,874.15,3,2,1,321,Potential Loyalists,Cluster_3,437.07
CUST_00009,318.5,2,1478.4,1,2,2,122,Lost,Cluster_3,739.2
CUST_00011,306.2,2,367.41,1,2,1,121,Lost,Cluster_2,183.71
CUST_00012,108.9,2,1402.72,2,2,2,222,Lost,Cluster_3,701.36
CUST_00013,197.7,2,2681.25,1,2,4,124,Potential Loyalists,Cluster_3,1340.62
CUST_00014,245.2,3,4804.52,1,4,5,145,Loyal Customers,Cluster_4,1601.51
CUST_00016,117.9,3,969.27,2,4,1,241,At Risk,Cluster_3,323.09
CUST_00017,122.6,2,1752.94,2,2,2,222,Lost,Cluster_3,876.47
CUST_00018,99.4,3,2500.01,3,4,3,343,Loyal Customers,Cluster_3,833.34
CUST_00019,178.1,1,727.71,1,1,1,111,Lost,Cluster_2,727.71
CUST_00021,3.2,5,3200.28,5,5,4,554,Champions,Cluster_1,640.06
CUST_00022,53.6,3,1910.46,4,4,3,443,Loyal Customers,Cluster_3,636.82
CUST_00023,90.6,3,1025.44,3,4,1,341,Potential Loyalists,Cluster_3,341.81
CUST_00024,70.0,2,1202.75,3,2,2,322,Potential Loyalists,Cluster_3,601.38
CUST_00025,186.3,2,1154.98,1,2,2,122,Lost,Cluster_3,577.49
CUST_00026,23.3,5,4306.12,5,5,5,555,Champions,Cluster_1,861.22
CUST_00027,6.3,4,1949.95,5,4,3,543,Loyal Customers,Cluster_1,487.49
CUST_00028,129.3,6,7892.31,2,5,5,255,Loyal Customers,Cluster_4,1315.38
CUST_00030,88.6,7,5481.71,3,5,5,355,Loyal Customers,Cluster_4,783.1
CUST_00031,28.4,2,1155.46,4,2,2,422,New Customers,Cluster_3,577.73
CUST_00032,135.5,3,3757.92,2,4,5,245,Loyal Customers,Cluster_3,1252.64
CUST_00033,197.3,3,4324.56,1,4,5,145,Loyal Customers,Cluster_3,1441.52
CUST_00034,95.9,1,540.88,3,1,1,311,Potential Loyalists,Cluster_2,540.88
CUST_00035,43.0,7,8002.72,4,5,5,455,Champions,Cluster_4,1143.25
CUST_00037,24.6,4,3322.2,5,4,4,544,Champions,Cluster_1,830.55
CUST_00038,68.6,4,3339.32,3,4,4,344,Loyal Customers,Cluster_4,834.83
CUST_00039,16.9,5,3659.78,5,5,4,554,Champions,Cluster_1,731.96
CUST_00040,104.7,5,5926.06,2,5,5,255,Loyal Customers,Cluster_4,1185.21
CUST_00041,58.3,4,2772.28,4,4,4,444,Champions,Cluster_4,693.07
CUST_00043,46.0,3,2026.48,4,4,3,443,Loyal Customers,Cluster_3,675.49
CUST_00044,80.7,6,3196.86,3,5,4,354,Loyal Customers,Cluster_4,532.81
CUST_00045,87.6,2,603.62,3,2,1,321,Potential Loyalists,Cluster_2,301.81
CUST_00046,102.9,5,2792.4,3,5,4,354,Loyal Customers,Cluster_4,558.48
CUST_00047,21.3,1,1294.5,5,1,2,512,New Customers,Cluster_3,1294.5
CUST_00048,9.4,1,1202.8,5,1,2,512,New Customers,Cluster_1,1202.8
CUST_00049,67.4,4,3767.76,3,4,5,345,Loyal Customers,Cluster_4,941.94
CUST_00050,39.8,4,5282.23,4,4,5,445,Champions,Cluster_4,1320.56
CUST_00051,60.5,4,2440.36,3,4,3,343,Loyal Customers,Cluster_4,610.09
CUST_00052,111.6,3,2513.7,2,4,3,243,Loyal Customers,Cluster_3,837.9
CUST_00053,105.2,2,1347.43,2,2,2,222,Lost,Cluster_3,673.72
CUST_00054,4.7,3,2872.78,5,4,4,544,Champions,Cluster_1,957.59
CUST_00055,254.6,2,1361.06,1,2,2,122,Lost,Cluster_3,680.53
CUST_00056,4.4,7,6283.55,5,5,5,555,Champions,Cluster_1,897.65
CUST_00057,126.7,3,2201.92,2,4,3,243,Loyal Customers,Cluster_3,733.97
CUST_00058,19.6,4,5652.61,5,4,5,545,Champions,Cluster_1,1413.15
CUST_00059,78.1,1,616.95,3,1,1,311,Potential Loyalists,Cluster_2,616.95
CUST_00061,340.0,1,2042.96,1,1,3,113,Potential Loyalists,Cluster_3,2042.96
CUST_00062,6.6,3,1062.18,5,4,2,542,Potential Loyalists,Cluster_1,354.06
CUST_00063,79.7,3,2272.89,3,4,3,343,Loyal Customers,Cluster_3,757.63
CUST_00064,161.0,3,2024.46,2,4,3,243,Loyal Customers,Cluster_3,674.82
CUST_00065,88.5,6,6067.4,3,5,5,355,Loyal Customers,Cluster_4,1011.23
CUST_00066,282.3,1,1598.46,1,1,2,112,Lost,Cluster_2,1598.46
CUST_00067,339.0,2,954.61,1,2,1,121,Lost,Cluster_3,477.31
CUST_00068,330.7,1,803.74,1,1,1,111,Lost,Cluster_2,803.74
CUST_00069,18.1,4,2171.17,5,4,3,543,Loyal Customers,Cluster_1,542.79
CUST_00070,66.0,4,4864.76,3,4,5,345,Loyal Customers,Cluster_4,1216.19
CUST_00071,12.1,6,2436.09,5,5,3,553,Loyal Customers,Cluster_1,406.02
CUST_00072,145.7,3,2386.78,2,4,3,243,Loyal Customers,Cluster_3,795.59
CUST_00074,1.4,3,1925.96,5,4,3,543,Loyal Customers,Cluster_1,641.99
CUST_00075,12.2,4,3783.82,5,4,5,545,Champions,Cluster_1,945.96
CUST_00076,219.7,2,2785.14,1,2,4,124,Potential Loyalists,Cluster_3,1392.57
CUST_00077,36.1,2,1076.49,4,2,2,422,New Customers,Cluster_3,538.25
CUST_00079,211.5,2,1607.86,1,2,2,122,Lost,Cluster_3,803.93
CUST_00080,48.1,4,4019.6,4,4,5,445,Champions,Cluster_4,1004.9
CUST_00081,15.3,5,2827.6,5,5,4,554,Champions,Cluster_1,565.52
CUST_00082,71.5,6,2789.63,3,5,4,354,Loyal Customers,Cluster_4,464.94
CUST_00083,68.2,2,794.91,3,2,1,321,Potential Loyalists,Cluster_3,397.45
CUST_00085,73.0,2,1442.69,3,2,2,322,Potential Loyalists,Cluster_3,721.35
CUST_00086,33.0,3,3275.1,4,4,4,444,Champions,Cluster_1,1091.7
CUST_00087,45.6,2,2436.67,4,2,3,423,New Customers,Cluster_3,1218.34
CUST_00088,252.8,1,391.98,1,1,1,111,Lost,Cluster_2,391.98
CUST_00089,66.4,5,2599.6,3,5,4,354,Loyal Customers,Cluster_4,519.92
CUST_00090,12.6,4,1994.53,5,4,3,543,Loyal Customers,Cluster_1,498.63
CUST_00091,27.4,2,1087.58,4,2,2,422,New Customers,Cluster_3,543.79
CUST_00092,82.1,3,1790.21,3,4,3,343,Loyal Customers,Cluster_3,596.74
CUST_00093,66.2,2,1271.69,3,2,2,322,Potential Loyalists,Cluster_3,635.85
CUST_00094,59.3,5,4918.58,3,5,5,355,Loyal Customers,Cluster_4,983.72
CUST_00095,96.9,4,2508.39,3,4,3,343,Loyal Customers,Cluster_4,627.1
CUST_00096,74.2,4,1995.71,3,4,3,343,Loyal Customers,Cluster_4,498.93
CUST_00097,155.2,2,1401.58,2,2,2,222,Lost,Cluster_3,700.79
CUST_00098,125.4,5,6440.45,2,5,5,255,Loyal Customers,Cluster_4,1288.09
CUST_00099,135.9,3,2755.01,2,4,4,244,Loyal Customers,Cluster_3,918.34
CUST_00100,30.9,4,2868.78,4,4,4,444,Champions,Cluster_1,717.2
CUST_00101,5.8,1,318.16,5,1,1,511,New Customers,Cluster_2,318.16
CUST_00102,143.9,2,1487.7,2,2,2,222,Lost,Cluster_3,743.85
CUST_00103,208.9,1,2405.71,1,1,3,113,Potential Loyalists,Cluster_3,2405.71
CUST_00104,29.6,2,966.29,4,2,1,421,New Customers,Cluster_3,483.14
CUST_00105,347.4,1,1726.5,1,1,2,112,Lost,Cluster_2,1726.5
